box_8_lizol(Clone) stack 0 Shelf_0 Rack_0_0_0
2.685083, 0.1961813, 8.221532, 472.2815, 254.0117
2.672166, 0.1961813, 8.468002, 463.9779, 250.2646
2.871892, 0.1961813, 8.478469, 478.967, 250.1107
2.672166, 0.1961813, 8.468002, 463.9779, 250.2646
2.672166, 0.0199313, 8.468002, 463.9779, 263.7738
2.871892, 0.0199313, 8.478469, 478.967, 263.6018
2.871892, 0.1961813, 8.478469, 478.967, 250.1107
2.871892, 0.1961813, 8.478469, 478.967, 250.1107
2.871892, 0.0199313, 8.478469, 478.967, 263.6018
2.685083, 0.0199313, 8.221532, 472.2815, 267.9601
2.871892, 0.0199313, 8.478469, 478.967, 263.6018
2.672166, 0.0199313, 8.468002, 463.9779, 263.7738
2.685083, 0.1961813, 8.221532, 472.2815, 254.0117
2.685083, 0.0199313, 8.221532, 472.2815, 267.9601
2.672166, 0.0199313, 8.468002, 463.9779, 263.7738
2.672166, 0.1961813, 8.468002, 463.9779, 250.2646
2.685083, 0.0199313, 8.221532, 472.2815, 267.9601
2.685083, 0.1961813, 8.221532, 472.2815, 254.0117
box_5_LMRR(Clone) stack 1 Shelf_0 Rack_0_0_0
2.491613, 0.162368, 8.202856, 457.5062, 256.9882
2.291887, 0.162368, 8.213324, 441.3822, 256.8196
2.306762, 0.162368, 8.497145, 435.2436, 252.4191
2.506487, 0.162368, 8.486677, 450.7761, 252.5758
2.306762, 0.162368, 8.497145, 435.2436, 252.4191
2.306762, 0.019868, 8.497145, 435.2436, 263.301
2.506487, 0.019868, 8.486677, 450.7761, 263.4721
2.506487, 0.162368, 8.486677, 450.7761, 252.5758
2.506487, 0.162368, 8.486677, 450.7761, 252.5758
2.506487, 0.019868, 8.486677, 450.7761, 263.4721
2.491613, 0.019868, 8.202856, 457.5062, 268.2935
2.491613, 0.162368, 8.202856, 457.5062, 256.9882
2.291887, 0.019868, 8.213324, 441.3822, 268.1092
2.491613, 0.019868, 8.202856, 457.5062, 268.2935
2.506487, 0.019868, 8.486677, 450.7761, 263.4721
2.306762, 0.019868, 8.497145, 435.2436, 263.301
2.291887, 0.162368, 8.213324, 441.3822, 256.8196
2.291887, 0.019868, 8.213324, 441.3822, 268.1092
2.306762, 0.019868, 8.497145, 435.2436, 263.301
2.306762, 0.162368, 8.497145, 435.2436, 252.4191
2.491613, 0.162368, 8.202856, 457.5062, 256.9882
2.491613, 0.019868, 8.202856, 457.5062, 268.2935
2.291887, 0.019868, 8.213324, 441.3822, 268.1092
2.291887, 0.162368, 8.213324, 441.3822, 256.8196
box_5_LMRR(Clone) stack 1 Shelf_0 Rack_0_0_0
2.506487, 0.304868, 8.213324, 458.384, 245.53
2.306762, 0.304868, 8.202856, 442.8409, 245.683
2.291887, 0.304868, 8.486677, 434.3667, 241.6795
2.491613, 0.304868, 8.497145, 449.3595, 241.5373
2.291887, 0.304868, 8.486677, 434.3667, 241.6795
2.291887, 0.162368, 8.486677, 434.3667, 252.5758
2.491613, 0.162368, 8.497145, 449.3595, 252.4192
2.491613, 0.304868, 8.497145, 449.3595, 241.5373
2.491613, 0.304868, 8.497145, 449.3595, 241.5373
2.491613, 0.162368, 8.497145, 449.3595, 252.4192
2.506487, 0.162368, 8.213324, 458.384, 256.8196
2.506487, 0.304868, 8.213324, 458.384, 245.53
2.306762, 0.162368, 8.202856, 442.8409, 256.9882
2.506487, 0.162368, 8.213324, 458.384, 256.8196
2.491613, 0.162368, 8.497145, 449.3595, 252.4192
2.291887, 0.162368, 8.486677, 434.3667, 252.5758
2.306762, 0.304868, 8.202856, 442.8409, 245.683
2.306762, 0.162368, 8.202856, 442.8409, 256.9882
2.291887, 0.162368, 8.486677, 434.3667, 252.5758
2.291887, 0.304868, 8.486677, 434.3667, 241.6795
2.506487, 0.304868, 8.213324, 458.384, 245.53
2.506487, 0.162368, 8.213324, 458.384, 256.8196
2.306762, 0.162368, 8.202856, 442.8409, 256.9882
2.306762, 0.304868, 8.202856, 442.8409, 245.683
box_5_LMRR(Clone) stack 1 Shelf_0 Rack_0_0_0
2.501652, 0.447368, 8.209662, 458.1064, 234.2884
2.301683, 0.447368, 8.206172, 442.3493, 234.3342
2.296722, 0.447368, 8.490338, 434.6456, 230.7384
2.496692, 0.447368, 8.493829, 449.8359, 230.6959
2.296722, 0.447368, 8.490338, 434.6456, 230.7384
2.296722, 0.304868, 8.490338, 434.6456, 241.6297
2.496692, 0.304868, 8.493829, 449.8359, 241.5823
2.496692, 0.447368, 8.493829, 449.8359, 230.6959
2.496692, 0.447368, 8.493829, 449.8359, 230.6959
2.496692, 0.304868, 8.493829, 449.8359, 241.5823
2.501652, 0.3048679, 8.209662, 458.1064, 245.5834
