box_1_Parle-G-GOLD(Clone) stack 42 Shelf_0 Rack_1_0_0
-7.544582, 0.1916559, 8.256677, 476.7503, 253.8191
-7.522768, 0.1916559, 8.46423, 472.1429, 250.6672
-7.522768, 0.1916559, 8.46423, 472.1429, 250.6672
-7.522768, 0.0191559, 8.46423, 472.1429, 263.8953
-7.544582, 0.0191559, 8.256677, 476.7503, 267.4077
-7.522768, 0.0191559, 8.46423, 472.1429, 263.8953
-7.544582, 0.1916559, 8.256677, 476.7503, 253.8191
-7.544582, 0.0191559, 8.256677, 476.7503, 267.4077
-7.522768, 0.0191559, 8.46423, 472.1429, 263.8953
-7.522768, 0.1916559, 8.46423, 472.1429, 250.6672
-7.544582, 0.0191559, 8.256677, 476.7503, 267.4077
-7.544582, 0.1916559, 8.256677, 476.7503, 253.8191
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.726587, 0.1961813, 8.21682, 463.583, 254.0858
-7.925492, 0.1961813, 8.237725, 447.26, 253.7581
-7.899693, 0.1961813, 8.483181, 442.7473, 250.0415
-7.700789, 0.1961813, 8.462276, 458.546, 250.349
-7.899693, 0.1961813, 8.483181, 442.7473, 250.0415
-7.899693, 0.0199313, 8.483181, 442.7473, 263.5245
-7.700789, 0.0199313, 8.462276, 458.546, 263.868
-7.700789, 0.1961813, 8.462276, 458.546, 250.349
-7.700789, 0.1961813, 8.462276, 458.546, 250.349
-7.700789, 0.0199313, 8.462276, 458.546, 263.868
-7.726587, 0.0199313, 8.21682, 463.583, 268.0428
-7.726587, 0.1961813, 8.21682, 463.583, 254.0858
-7.925492, 0.0199313, 8.237725, 447.26, 267.6767
-7.726587, 0.0199313, 8.21682, 463.583, 268.0428
-7.700789, 0.0199313, 8.462276, 458.546, 263.868
-7.899693, 0.0199313, 8.483181, 442.7473, 263.5245
-7.925492, 0.1961813, 8.237725, 447.26, 253.7581
-7.925492, 0.0199313, 8.237725, 447.26, 267.6767
-7.899693, 0.0199313, 8.483181, 442.7473, 263.5245
-7.899693, 0.1961813, 8.483181, 442.7473, 250.0415
-7.726587, 0.1961813, 8.21682, 463.583, 254.0858
-7.726587, 0.0199313, 8.21682, 463.583, 268.0428
-7.925492, 0.0199313, 8.237725, 447.26, 267.6767
-7.925492, 0.1961813, 8.237725, 447.26, 253.7581
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.698847, 0.3724313, 8.239703, 465.0999, 239.8122
-7.897356, 0.3724313, 8.215329, 450.1013, 240.1494
-7.927434, 0.3724313, 8.460298, 441.2122, 236.8556
-7.728925, 0.3724313, 8.484672, 455.7701, 236.5391
-7.927434, 0.3724313, 8.460298, 441.2122, 236.8556
-7.927434, 0.1961813, 8.460298, 441.2122, 250.3781
-7.728925, 0.1961813, 8.484672, 455.7701, 250.0196
-7.728925, 0.3724313, 8.484672, 455.7701, 236.5391
-7.728925, 0.3724313, 8.484672, 455.7701, 236.5391
-7.728925, 0.1961813, 8.484672, 455.7701, 250.0196
-7.698847, 0.1961813, 8.239703, 465.0999, 253.7272
-7.698847, 0.3724313, 8.239703, 465.0999, 239.8122
-7.897356, 0.1961813, 8.215329, 450.1013, 254.1092
-7.698847, 0.1961813, 8.239703, 465.0999, 253.7272
-7.728925, 0.1961813, 8.484672, 455.7701, 250.0196
-7.927434, 0.1961813, 8.460298, 441.2122, 250.3781
-7.897356, 0.3724313, 8.215329, 450.1013, 240.1494
-7.897356, 0.1961813, 8.215329, 450.1013, 254.1092
-7.927434, 0.1961813, 8.460298, 441.2122, 250.3781
-7.927434, 0.3724313, 8.460298, 441.2122, 236.8556
-7.698847, 0.3724313, 8.239703, 465.0999, 239.8122
-7.698847, 0.1961813, 8.239703, 465.0999, 253.7272
-7.897356, 0.1961813, 8.215329, 450.1013, 254.1092
-7.897356, 0.3724313, 8.215329, 450.1013, 240.1494
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.726587, 0.5486813, 8.21682, 463.583, 226.1717
-7.925492, 0.5486813, 8.237725, 447.26, 225.9208
-7.899693, 0.5486813, 8.483181, 442.7473, 223.0754
-7.700789, 0.5486813, 8.462276, 458.546, 223.3108
-7.899693, 0.5486813, 8.483181, 442.7473, 223.0754
-7.899693, 0.3724313, 8.483181, 442.7473, 236.5584
-7.700789, 0.3724313, 8.462276, 458.546, 236.8299
-7.700789, 0.5486813, 8.462276, 458.546, 223.3108
-7.700789, 0.5486813, 8.462276, 458.546, 223.3108
-7.700789, 0.3724313, 8.462276, 458.546, 236.8299
-7.726587, 0.3724313, 8.21682, 463.583, 240.1287
-7.726587, 0.5486813, 8.21682, 463.583, 226.1717
-7.925492, 0.3724313, 8.237725, 447.26, 239.8394
-7.726587, 0.3724313, 8.21682, 463.583, 240.1287
-7.700789, 0.3724313, 8.462276, 458.546, 236.8299
-7.899693, 0.3724313, 8.483181, 442.7473, 236.5584
-7.925492, 0.5486813, 8.237725, 447.26, 225.9208
-7.925492, 0.3724313, 8.237725, 447.26, 239.8394
-7.899693, 0.3724313, 8.483181, 442.7473, 236.5584
-7.899693, 0.5486813, 8.483181, 442.7473, 223.0754
-7.726587, 0.5486813, 8.21682, 463.583, 226.1717
-7.726587, 0.3724313, 8.21682, 463.583, 240.1287
-7.925492, 0.3724313, 8.237725, 447.26, 239.8394
-7.925492, 0.5486813, 8.237725, 447.26, 225.9208
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.708895, 0.7249313, 8.230162, 464.5885, 212.0789
-7.908773, 0.7249313, 8.223182, 448.9803, 212.1498
-7.917386, 0.7249314, 8.469839, 441.737, 209.7195
-7.717508, 0.7249314, 8.476819, 456.8603, 209.6529
-7.917386, 0.7249314, 8.469839, 441.737, 209.7195
-7.917386, 0.5486813, 8.469839, 441.737, 223.2255
-7.717508, 0.5486813, 8.476819, 456.8603, 223.1469
-7.717508, 0.7249314, 8.476819, 456.8603, 209.6529
-7.717508, 0.7249314, 8.476819, 456.8603, 209.6529
-7.717508, 0.5486813, 8.476819, 456.8603, 223.1469
-7.708895, 0.5486813, 8.230162, 464.5885, 226.0114
-7.708895, 0.7249313, 8.230162, 464.5885, 212.0789
-7.908773, 0.5486813, 8.223182, 448.9803, 226.0952
-7.708895, 0.5486813, 8.230162, 464.5885, 226.0114
-7.717508, 0.5486813, 8.476819, 456.8603, 223.1469
-7.917386, 0.5486813, 8.469839, 441.737, 223.2255
-7.908773, 0.7249313, 8.223182, 448.9803, 212.1498
-7.908773, 0.5486813, 8.223182, 448.9803, 226.0952
-7.917386, 0.5486813, 8.469839, 441.737, 223.2255
-7.917386, 0.7249314, 8.469839, 441.737, 209.7195
-7.708895, 0.7249313, 8.230162, 464.5885, 212.0789
-7.708895, 0.5486813, 8.230162, 464.5885, 226.0114
