box_5_LMRR(Clone) stack 41 Shelf_0 Rack_1_0_0
-7.145397, 0.162368, 8.209662, 470.2298, 256.8785
-7.140437, 0.162368, 8.493829, 462.2786, 252.4687
-6.940467, 0.162368, 8.490338, 477.6611, 252.521
-7.140437, 0.162368, 8.493829, 462.2786, 252.4687
-7.140437, 0.01986802, 8.493829, 462.2786, 263.3551
-6.940467, 0.01986802, 8.490338, 477.6611, 263.4122
-6.940467, 0.162368, 8.490338, 477.6611, 252.521
-6.940467, 0.162368, 8.490338, 477.6611, 252.521
-6.940467, 0.01986802, 8.490338, 477.6611, 263.4122
-7.145397, 0.01986799, 8.209662, 470.2298, 268.1736
-6.940467, 0.01986802, 8.490338, 477.6611, 263.4122
-7.140437, 0.01986802, 8.493829, 462.2786, 263.3551
-7.145397, 0.162368, 8.209662, 470.2298, 256.8785
-7.145397, 0.01986799, 8.209662, 470.2298, 268.1736
-7.140437, 0.01986802, 8.493829, 462.2786, 263.3551
-7.140437, 0.162368, 8.493829, 462.2786, 252.4687
-7.145397, 0.01986799, 8.209662, 470.2298, 268.1736
-7.145397, 0.162368, 8.209662, 470.2298, 256.8785
box_1_Parle-G-GOLD(Clone) stack 42 Shelf_0 Rack_1_0_0
-7.345678, 0.1916559, 8.235771, 453.618, 254.1461
-7.544582, 0.1916559, 8.256677, 437.363, 253.8191
-7.522768, 0.1916559, 8.46423, 433.8005, 250.6672
-7.323863, 0.1916559, 8.443324, 449.6135, 250.9771
-7.522768, 0.1916559, 8.46423, 433.8005, 250.6672
-7.522768, 0.0191559, 8.46423, 433.8005, 263.8953
-7.323863, 0.0191559, 8.443324, 449.6135, 264.2406
-7.323863, 0.1916559, 8.443324, 449.6135, 250.9771
-7.323863, 0.1916559, 8.443324, 449.6135, 250.9771
-7.323863, 0.0191559, 8.443324, 449.6135, 264.2406
-7.345678, 0.0191559, 8.235771, 453.618, 267.7721
-7.345678, 0.1916559, 8.235771, 453.618, 254.1461
-7.544582, 0.0191559, 8.256677, 437.363, 267.4077
-7.345678, 0.0191559, 8.235771, 453.618, 267.7721
-7.323863, 0.0191559, 8.443324, 449.6135, 264.2406
-7.522768, 0.0191559, 8.46423, 433.8005, 263.8953
-7.544582, 0.1916559, 8.256677, 437.363, 253.8191
