box_3_Hareli(Clone) stack 80 Shelf_0 Rack_0_1_0
1.504563, 0.1692639, 0.4564434, 474.4721, 252.5012
1.504563, 0.1692639, 0.4564434, 474.4721, 252.5012
1.504563, 0.01926389, 0.4564435, 474.4721, 264.0154
1.504563, 0.01926389, 0.4564435, 474.4721, 264.0154
1.504563, 0.01926389, 0.4564435, 474.4721, 264.0154
1.504563, 0.1692639, 0.4564434, 474.4721, 252.5012
box_6_melody(Clone) stack 84 Shelf_1 Rack_0_1_0
1.493194, 1.391943, 0.456919, 473.5852, 158.6454
1.493194, 1.391943, 0.456919, 473.5852, 158.6454
1.493194, 1.204443, 0.456919, 473.5852, 173.0373
1.493194, 1.204443, 0.456919, 473.5852, 173.0373
1.493194, 1.204443, 0.456919, 473.5852, 173.0373
1.493194, 1.391943, 0.456919, 473.5852, 158.6454
box_6_melody(Clone) stack 84 Shelf_1 Rack_0_1_0
1.511322, 1.579443, 0.4734173, 474.4817, 144.2341
1.511322, 1.579443, 0.4734173, 474.4817, 144.2341
1.511322, 1.391943, 0.4734173, 474.4817, 158.5956
1.511322, 1.391943, 0.4734173, 474.4817, 158.5956
1.511322, 1.391943, 0.4734173, 474.4817, 158.5956
1.511322, 1.579443, 0.4734173, 474.4817, 144.2341
box_6_melody(Clone) stack 84 Shelf_1 Rack_0_1_0
1.515687, 1.766943, 0.4766837, 474.7182, 129.8746
1.515687, 1.766943, 0.4766837, 474.7182, 129.8746
1.515687, 1.579443, 0.4766838, 474.7182, 144.2302
1.515687, 1.579443, 0.4766838, 474.7182, 144.2302
1.515687, 1.579443, 0.4766838, 474.7182, 144.2302
1.515687, 1.766943, 0.4766837, 474.7182, 129.8746
box_6_melody(Clone) stack 84 Shelf_1 Rack_0_1_0
1.498946, 1.954443, 0.4627324, 473.8528, 115.4843
1.498946, 1.954443, 0.4627324, 473.8528, 115.4843
1.498946, 1.766943, 0.4627325, 473.8528, 129.8655
1.498946, 1.766943, 0.4627325, 473.8528, 129.8655
1.498946, 1.766943, 0.4627325, 473.8528, 129.8655
1.498946, 1.954443, 0.4627324, 473.8528, 115.4843
box4_Fairever(Clone) stack 85 Shelf_1 Rack_0_1_0
1.308248, 1.369311, 0.226747, 466.0453, 161.1526
1.108523, 1.369311, 0.2372142, 449.9604, 161.1166
1.120893, 1.369311, 0.4732538, 444.5811, 160.3296
1.320619, 1.369311, 0.4627866, 460.1736, 160.3635
1.120893, 1.369311, 0.4732538, 444.5811, 160.3296
1.120893, 1.204311, 0.4732538, 444.5811, 172.968
1.320619, 1.204311, 0.4627866, 460.1736, 173.0188
1.320619, 1.369311, 0.4627866, 460.1736, 160.3635
1.320619, 1.369311, 0.4627866, 460.1736, 160.3635
1.320619, 1.204311, 0.4627866, 460.1736, 173.0188
1.308248, 1.204311, 0.226747, 466.0453, 174.2017
1.308248, 1.369311, 0.226747, 466.0453, 161.1526
1.108523, 1.204311, 0.2372142, 449.9604, 174.1477
1.308248, 1.204311, 0.226747, 466.0453, 174.2017
1.320619, 1.204311, 0.4627866, 460.1736, 173.0188
1.120893, 1.204311, 0.4732538, 444.5811, 172.968
1.108523, 1.369311, 0.2372142, 449.9604, 161.1166
1.108523, 1.204311, 0.2372142, 449.9604, 174.1477
1.120893, 1.204311, 0.4732538, 444.5811, 172.968
1.120893, 1.369311, 0.4732538, 444.5811, 160.3296
1.308248, 1.369311, 0.226747, 466.0453, 161.1526
